prices,white_bread_Product,Bread_size
3.19,Pepperidge Farm® Italian Italian with Sesame Seeds Bread,20.0
3.19,Pepperidge Farm® Italian Italian with Sesame Seeds Bread,20.0
3.29,Sara Lee Butter Bread,20.0
3.29,"Nature's Own Butterbread, Sliced White Bread, 20 oz Loaf",20.0
3.29,Sara Lee Artesano Bakery Bread,20.0
3.29,Sara Lee Butter Bread,20.0
3.29,"Nature's Own Butterbread, Sliced White Bread, 20 oz Loaf",20.0
4.09,"Nature's Own Perfectly Crafted White Bread, Thick Sliced Non-GMO Sandwich Bread, 22 oz Loaf",22.0
4.09,"Nature's Own Perfectly Crafted White Bread, Thick Sliced Non-GMO Sandwich Bread, 22 oz Loaf",22.0
4.39,Sara Lee White made with Whole Wheat Bread,20.0
4.39,Sara Lee 100% Whole Wheat Bread,20.0
4.39,Pepperidge Farm Farmhouse Whole Grain White Bread,24.0
4.39,Pepperidge Farm Farmhouse Hearty White Bread,24.0
4.39,Sara Lee White made with Whole Wheat Bread,20.0
4.39,Pepperidge Farm Farmhouse Hearty White Bread,24.0
4.39,Sara Lee 100% Whole Wheat Bread,20.0
4.39,Sara Lee White made with Whole Wheat Bread,20.0
4.39,Pepperidge Farm Farmhouse Butter Bread,22.0
4.99,Arnold Whole Grains 100% Whole Wheat Bread,24.0
6.89,Dave's Killer Bread 21 Whole Grains and Seeds Organic Bread,27.0
6.89,"Dave's Killer Bread White Bread Done Right, Artisan-Style Organic White Bread, 24 oz Loaf",24.0
6.89,"Dave's Killer Bread White Bread Done Right, Artisan-Style Organic White Bread, 24 oz Loaf",24.0
