prices,white_bread_Product,Bread_size
3.79,Pepperidge Farm Italian White Seedless Bread,20.0
4.19,Sara Lee Classic White Bread,20.0
4.19,Sara Lee Classic White Bread,20.0
4.49,Pepperidge Farm® White Original White Bread,16.0
4.69,Sara Lee White made with Whole Wheat Bread,20.0
4.69,Sara Lee White made with Whole Wheat Bread,20.0
4.69,Sara Lee Butter Bread,20.0
5.09,Sara Lee Artesano Bakery Bread,20.0
5.09,Sara Lee Honey Wheat Bread,20.0
5.09,Sara Lee Artesano Bakery Bread,20.0
5.39,Pepperidge Farm® White White Bread,16.0
5.39,Pepperidge Farm® Very Thin Enriched White Thin Sliced Bread,16.0
5.59,Pepperidge Farm Farmhouse Hearty White Bread,24.0
5.59,Pepperidge Farm Farmhouse Butter Bread,22.0
5.99,Arnold Brick Oven Premium White Bread,20.0
5.99,Thomas’ Original English Muffins,12.0
5.99,Arnold Whole Grains 100% Whole Wheat Bread,24.0
5.99,Arnold Country White Bread,24.0
6.19,The Rustik Oven Artisan Pane Italiano Bread,16.0
7.09,Arnold Brick Oven Premium White Bread,32.0
8.99,"Dave's Killer Bread White Bread Done Right, Artisan-Style Organic White Bread, 24 oz Loaf",24.0
8.99,Dave's Killer Bread Powerseed Organic Bread,25.0
