,prices,white_bread_Product,Bread_size
0,3.19,Pepperidge Farm® Italian Italian with Sesame Seeds Bread,20.0
1,3.19,Pepperidge Farm® Italian Italian with Sesame Seeds Bread,20.0
2,3.29,Sara Lee Butter Bread,20.0
3,3.29,"Nature's Own Butterbread, Sliced White Bread, 20 oz Loaf",20.0
4,3.29,Sara Lee Artesano Bakery Bread,20.0
5,3.29,Sara Lee Butter Bread,20.0
6,3.29,"Nature's Own Butterbread, Sliced White Bread, 20 oz Loaf",20.0
7,4.39,Sara Lee White made with Whole Wheat Bread,20.0
8,4.39,Sara Lee 100% Whole Wheat Bread,20.0
9,4.39,Sara Lee White made with Whole Wheat Bread,20.0
10,4.39,Sara Lee 100% Whole Wheat Bread,20.0
11,4.39,Sara Lee White made with Whole Wheat Bread,20.0
