,prices,white_bread_Product,Bread_size
0,3.49,Sara Lee Butter Bread,20.0
1,3.49,Sara Lee Honey Wheat Bread,20.0
2,3.49,Sara Lee Butter Bread,20.0
3,3.49,Sara Lee Honey Wheat Bread,20.0
4,3.49,Sara Lee 100% Whole Wheat Bread,20.0
5,3.88,Pepperidge Farm Italian White Seedless Bread,20.0
6,4.09,Arnold Brick Oven Premium White Bread,20.0
7,4.09,"Wonder Bread Bread Classic White Sandwich Bread, Sliced White Bread, 20 oz Loaf",20.0
8,4.59,"Nature's Own Bread, 100% Whole Wheat",20.0
9,4.99,Sara Lee Butter Bread,20.0
10,5.29,"Martin's Potato Bread, 100% Whole Wheat",20.0
