,prices,white_bread_Product,Bread_size
0,2.69,Bimbo Soft White Bread,20.0
1,2.99,Pepperidge Farm Italian White Seedless Bread,20.0
2,3.49,Sara Lee Classic White Bread,20.0
3,3.49,Sara Lee Classic White Bread,20.0
4,3.69,Sara Lee Honey Wheat Bread,20.0
5,3.69,Sara Lee 100% Whole Wheat Bread,20.0
6,3.69,Sara Lee Butter Bread,20.0
7,3.69,Sara Lee 100% Whole Wheat Bread,20.0
8,3.69,Sara Lee Honey Wheat Bread,20.0
9,3.69,Sara Lee Butter Bread,20.0
10,3.99,Sara Lee Artesano Golden Wheat Bakery Bread,20.0
11,3.99,Sara Lee Artesano Golden Wheat Bakery Bread,20.0
12,4.69,Arnold Brick Oven Premium White Bread,20.0
