,prices,whole_milk_Product,Milk_size
0,8.29,Lactaid Whole Milk,64.0
1,8.99,Stonyfield Organic Whole Milk,64.0
2,8.99,Horizon Organic Whole High Vitamin D Milk,64.0
3,8.99,Stonyfield Organic Whole Milk,64.0
4,8.99,Horizon Organic 1% Lowfat High Vitamin D Milk,64.0
5,8.99,Horizon Organic 2% Reduced Fat DHA Omega-3 Milk,64.0
6,9.79,Organic Valley Whole Milk,64.0
7,9.79,Organic Valley Ultra Pasteurized 0% Fat Milk,64.0
8,9.79,Organic Valley 2% Milk,64.0
9,9.79,Organic Valley Ultra Pasteurized Lowfat Organic 1% Milk,64.0
10,9.79,Organic Valley 2% Milk,64.0
11,9.79,Organic Valley Ultra Pasteurized Lowfat Organic 1% Milk,64.0
12,9.79,Organic Valley Whole Milk,64.0
13,9.79,Organic Valley Ultra Pasteurized 0% Fat Milk,64.0
14,11.19,Organic Valley Grassmilk Organic Whole Milk,64.0
