,prices,Egg_Product,Egg_size
0,2.79,Medium White Eggs,12.0
1,3.29,The Farmer's Hen Organic Free Range Medium Eggs,12.0
2,3.89,Eggland's Best Grade A Large White Eggs,12.0
4,4.79,The Farmer's Hen Classic Free Range Large Brown Eggs,12.0
5,4.89,Land O Lakes Large Brown Eggs,12.0
6,4.99,Eggland's Best Grade A Large White Eggs,12.0
7,5.49,Pine Belt Eggs Grade AA Extra Large Eggs,12.0
8,5.49,Hillandale Farms Jumbo Grade A Eggs,12.0
9,5.79,"Land O Lakes Eggs, Brown, Grade A, Jumbo",12.0
10,5.89,Eggland's Best Cage Free Grade A Large Brown Eggs,12.0
11,6.59,Aldefer Organic Large Brown Grade A Eggs,12.0
13,7.19,The Farmer's Hen Organic Free Range Large Brown Eggs,12.0
14,7.19,Nature's Yoke Free-Range Organic Large Brown Eggs,12.0
17,8.79,Nature's Yoke Organic Free-Range Extra Large Brown Eggs,12.0
18,9.19,"Horizon Organic Eggs, Fresh, Brown, Large",12.0
