,prices,Egg_Product,Egg_size
1,5.79,Green Way Markets Omega 3 Large Brown Eggs,12.0
2,5.99,Eggland's Best Grade A Large White Eggs,12.0
3,6.09,"Land O Lakes Eggs, Brown, Extra Large",12.0
4,6.69,Hillandale Farms Jumbo Grade A Eggs,12.0
5,6.69,"Land O Lakes Eggs, Brown, Cage Free, Large",12.0
6,6.79,Foodtown Large Grade AAA White Eggs,12.0
7,7.89,Utopihen Farms Pasture Raised Large Brown Eggs,12.0
8,8.69,"Pete and Gerry’s Organic Eggs Eggs, Organic, Free Range, Large",12.0
9,8.69,"Nellie's Free Range Eggs, Brown, Free Range, Large, Grade A",12.0
10,8.69,"Pete and Gerry’s Organic Eggs Eggs, Organic, Free Range, Large",12.0
12,9.19,The Farmer's Hen Organic Free Range Large Brown Eggs,12.0
13,9.19,The Farmer's Hen Organic Pasture Raised Large Brown Eggs,12.0
14,9.59,Eggland's Best Organic Cage Free Grade A Brown Eggs Large,12.0
15,9.78,Vital Farms Pasture Raised Large Grade A Eggs,12.0
16,11.49,Vital Farms Organic Pasture Raised Large Grade A Eggs,12.0
