,prices,Egg_Product,Egg_size
4,6.79,"Pete and Gerry’s Organic Eggs Eggs, Organic, Medium, Grade A",12.0
5,7.19,Nature's Yoke Legacy Free Range Large Brown Eggs,12.0
6,7.19,Nature's Yoke Legacy Free-Range Large White Eggs,12.0
8,7.29,Nature's Yoke Legacy Free Range Extra Large Brown Eggs,12.0
10,7.89,Nature's Yoke Free-Range Jumbo Brown Eggs,12.0
11,9.99,Nature's Yoke Organic Free-Range Extra Large Brown Eggs,12.0
12,9.99,Nature's Yoke Free-Range Organic Large Brown Eggs,12.0
13,10.09,Nature's Yoke Organic Free-Range Large Brown Eggs,12.0
14,10.89,"Pete and Gerry’s Organic Eggs Eggs, Organic, Free Range, Large",12.0
15,10.89,Nature's Yoke Free-Range Organic Jumbo Eggs,12.0
16,10.89,"Pete and Gerry’s Organic Eggs Eggs, Organic, Free Range, Large",12.0
17,11.19,Pete & Gerry's Organic Eggs Extra Large Brown Eggs,12.0
18,11.19,"Pete and Gerry’s Organic Eggs Eggs, Organic, Free Range, Jumbo, Grade A",12.0
19,11.59,Happy Egg Medium Heirloom Fresh Free Range Blue & Brown Eggs,12.0
20,11.79,Sunshine Grade A Organic Large Brown Eggs,12.0
