prices,Egg_Product,Egg_size
5.59,Nature's Yoke Organic Free-Range Large Brown Eggs,6.0
5.59,Natures Yoke Legacy Free-Range Large Brown Eggs,6.0
5.89,"Pete and Gerry’s Organic Eggs Eggs, Organic, Free Range, Large, Grade A",6.0
6.79,Vital Farms Pasture Raised Large Eggs- 6 count,6.0
6.79,"Pete and Gerry’s Organic Eggs Eggs, Organic, Medium, Grade A",12.0
7.19,Nature's Yoke Legacy Free Range Large Brown Eggs,12.0
7.19,Nature's Yoke Legacy Free-Range Large White Eggs,12.0
7.29,The Country Hen Organic Large Grade A Eggs,6.0
7.29,Nature's Yoke Legacy Free Range Extra Large Brown Eggs,12.0
7.89,The Country Hen Organic Grade A Eggs Extra- Large,6.0
7.89,Nature's Yoke Free-Range Jumbo Brown Eggs,12.0
9.99,Nature's Yoke Organic Free-Range Extra Large Brown Eggs,12.0
9.99,Nature's Yoke Free-Range Organic Large Brown Eggs,12.0
10.09,Nature's Yoke Organic Free-Range Large Brown Eggs,12.0
10.89,"Pete and Gerry’s Organic Eggs Eggs, Organic, Free Range, Large",12.0
10.89,Nature's Yoke Free-Range Organic Jumbo Eggs,12.0
10.89,"Pete and Gerry’s Organic Eggs Eggs, Organic, Free Range, Large",12.0
11.19,Pete & Gerry's Organic Eggs Extra Large Brown Eggs,12.0
11.19,"Pete and Gerry’s Organic Eggs Eggs, Organic, Free Range, Jumbo, Grade A",12.0
11.59,Happy Egg Medium Heirloom Fresh Free Range Blue & Brown Eggs,12.0
11.79,Sunshine Grade A Organic Large Brown Eggs,12.0
13.49,Eggland's Best Large White Eggs,18.0
