prices,Egg_Product,Egg_size
899,Happy Egg Heritage Breed Blue & Brown Free Range Large Grade A Eggs,12 ct
699,"Nellie's Free Range Eggs, Brown, Free Range, Large, Grade A",12 ct
699,"Horizon Organic Eggs, Fresh, Brown, Large",12 ct
979,"Pete and Gerry’s Organic Eggs Eggs, Organic, Free Range, Jumbo, Grade A",12 each
699,"Nellie's Free Range Eggs, Brown, Free Range, Large, Grade A",12 ct
399,Nellie's Free Range Free Range Large Eggs,6 ct
879,"Pete and Gerry’s Organic Eggs Eggs, Organic, Free Range, Large",12 ct
449,Eggland's Best Grade A Large White Eggs,12 ct
1099,Vital Farms Organic Pasture Raised Large Grade A Eggs,12 ct
879,"Pete and Gerry’s Organic Eggs Eggs, Organic, Free Range, Large",12 ct
479,Thomas’ Light Multi-Grain English Muffins,6 x 13 oz
899,Vital Farms Pasture Raised Large Grade A Eggs,12 ct
479,Quaker State Eggs Medium Eggs,21 oz
469,Eggland's Best Extra Large White Eggs,12 ct
999,Bowl & Basket White Large Eggs,30 x 60 oz
489,Land O Lakes Large Brown Eggs,12 ct
849,"Pete and Gerry’s Organic Eggs Eggs, Organic, Free Range, Extra Large, Grade A",12 ct
529,"Pete and Gerry’s Organic Eggs Eggs, Organic, Jumbo, Grade A",6 ct
599,Bowl & Basket Large White Eggs,18 ct
419,Bowl & Basket Fresh White Large Eggs,12 ct
899,Organic Valley Extra Large Brown Free Range Organic Eggs,12 ct
529,Nature's Farms Green Cast Large Eggs,6 ct
479,Organic Valley Large Brown Free Range Organic Eggs,6 ct
