prices,Egg_Product,Egg_size
3.99,Nellie's Free Range Free Range Large Eggs,6.0
4.19,Bowl & Basket Fresh White Large Eggs,12.0
4.49,Eggland's Best Grade A Large White Eggs,12.0
4.69,Eggland's Best Extra Large White Eggs,12.0
4.79,Organic Valley Large Brown Free Range Organic Eggs,6.0
4.89,Land O Lakes Large Brown Eggs,12.0
5.29,"Pete and Gerry’s Organic Eggs Eggs, Organic, Jumbo, Grade A",6.0
5.29,Nature's Farms Green Cast Large Eggs,6.0
5.99,Bowl & Basket Large White Eggs,18.0
6.99,"Nellie's Free Range Eggs, Brown, Free Range, Large, Grade A",12.0
6.99,"Horizon Organic Eggs, Fresh, Brown, Large",12.0
6.99,"Nellie's Free Range Eggs, Brown, Free Range, Large, Grade A",12.0
8.49,"Pete and Gerry’s Organic Eggs Eggs, Organic, Free Range, Extra Large, Grade A",12.0
8.79,"Pete and Gerry’s Organic Eggs Eggs, Organic, Free Range, Large",12.0
8.79,"Pete and Gerry’s Organic Eggs Eggs, Organic, Free Range, Large",12.0
8.99,Organic Valley Extra Large Brown Free Range Organic Eggs,12.0
8.99,Vital Farms Pasture Raised Large Grade A Eggs,12.0
8.99,Happy Egg Heritage Breed Blue & Brown Free Range Large Grade A Eggs,12.0
9.79,"Pete and Gerry’s Organic Eggs Eggs, Organic, Free Range, Jumbo, Grade A",12.0
10.99,Vital Farms Organic Pasture Raised Large Grade A Eggs,12.0
