prices,white_bread_Product,Bread_size
349,Sara Lee Classic White Bread,20 oz
369,Sara Lee Butter Bread,20 oz
699,"Dave's Killer Bread White Bread Done Right, Artisan-Style Organic White Bread, 24 oz Loaf",24 oz
469,Arnold Brick Oven Premium White Bread,20 oz
469,Arnold Country White Bread,24 oz
449,Pepperidge Farm Farmhouse Hearty White Bread,24 oz
299,Pepperidge Farm Italian White Seedless Bread,20 oz
349,Sara Lee Classic White Bread,20 oz
449,Pepperidge Farm Farmhouse Butter Bread,22 oz
469,Thomas’ Toast-R-Cakes Corn Muffins,6 x 7 oz
479,Thomas’ Original English Muffins,12 oz
369,Sara Lee Honey Wheat Bread,20 oz
269,Bimbo Soft White Bread,20 oz
369,Sara Lee Butter Bread,20 oz
369,Sara Lee Honey Wheat Bread,20 oz
499,Pepperidge Farm Farmhouse Potato Bread,22 oz
399,Sara Lee Artesano Golden Wheat Bakery Bread,20 oz
399,Pepperidge Farm® White White Bread,16 oz
369,Sara Lee 100% Whole Wheat Bread,20 oz
369,Sara Lee 100% Whole Wheat Bread,20 oz
469,Arnold Country 100% Whole Wheat Bread,24 oz
399,Sara Lee Artesano Golden Wheat Bakery Bread,20 oz
449,Pepperidge Farm Farmhouse 100% Whole Wheat Bread,24 oz
449,Stroehmann Dutch Country 100% Whole Wheat Bread,24 oz
