prices,white_bread_Product,Bread_size
3.49,Sara Lee Butter Bread,20.0
3.49,Sara Lee Honey Wheat Bread,20.0
3.49,Sara Lee Butter Bread,20.0
3.49,Sara Lee Honey Wheat Bread,20.0
3.49,Sara Lee 100% Whole Wheat Bread,20.0
3.88,Pepperidge Farm Italian White Seedless Bread,20.0
4.09,Arnold Brick Oven Premium White Bread,20.0
4.09,"Wonder Bread Bread Classic White Sandwich Bread, Sliced White Bread, 20 oz Loaf",20.0
4.59,"Nature's Own Bread, 100% Whole Wheat",20.0
4.99,"Nature's Own Perfectly Crafted White Bread, Thick Sliced Non-GMO Sandwich Bread, 22 oz Loaf",22.0
4.99,"Nature's Own Bread, Multigrain, Thick Sliced",22.0
4.99,Sara Lee Butter Bread,20.0
4.99,Nature's Own Perfectly Crafted Thick Sliced Brioche Style Bread,22.0
5.29,"Martin's Potato Bread, 100% Whole Wheat",20.0
5.29,"Martin's Bread, Real, Butter, Old-Fashioned",18.0
6.09,"Nature's Own Perfectly Crafted White Bread, Thick Sliced Non-GMO Sandwich Bread, 22 oz Loaf",22.0
7.49,"Dave's Killer Bread White Bread Done Right, Artisan-Style Organic White Bread, 24 oz Loaf",24.0
7.49,Dave's Killer Bread 21 Whole Grains and Seeds Organic Bread,27.0
7.49,Dave's Killer Bread Powerseed Organic Bread,25.0
