prices,white_bread_Product,Bread_size
2.69,Bimbo Soft White Bread,20.0
2.99,Pepperidge Farm Italian White Seedless Bread,20.0
3.49,Sara Lee Classic White Bread,20.0
3.49,Sara Lee Classic White Bread,20.0
3.69,Sara Lee Honey Wheat Bread,20.0
3.69,Sara Lee 100% Whole Wheat Bread,20.0
3.69,Sara Lee Butter Bread,20.0
3.69,Sara Lee 100% Whole Wheat Bread,20.0
3.69,Sara Lee Honey Wheat Bread,20.0
3.69,Sara Lee Butter Bread,20.0
3.99,Sara Lee Artesano Golden Wheat Bakery Bread,20.0
3.99,Pepperidge Farm® White White Bread,16.0
3.99,Sara Lee Artesano Golden Wheat Bakery Bread,20.0
4.49,Stroehmann Dutch Country 100% Whole Wheat Bread,24.0
4.49,Pepperidge Farm Farmhouse 100% Whole Wheat Bread,24.0
4.49,Pepperidge Farm Farmhouse Butter Bread,22.0
4.49,Pepperidge Farm Farmhouse Hearty White Bread,24.0
4.69,Arnold Country 100% Whole Wheat Bread,24.0
4.69,Arnold Brick Oven Premium White Bread,20.0
4.69,Arnold Country White Bread,24.0
6.99,"Dave's Killer Bread White Bread Done Right, Artisan-Style Organic White Bread, 24 oz Loaf",24.0
